Date,Open,High,Low,Close,Volume
6/26/09,918.84,922,913.03,918.9,3375922222
6/29/09,919.86,927.99,916.18,927.23,2339866667
6/30/09,927.15,930.01,912.86,919.32,2570872222
7/1/09,920.82,931.92,920.82,923.33,2177444444
7/2/09,921.24,921.24,896.42,896.42,2183888889
7/6/09,894.27,898.72,886.36,898.72,2618100000
7/7/09,898.6,898.6,879.93,881.03,2596277778
7/8/09,881.9,886.8,869.32,879.56,3178766667
7/9/09,881.28,887.86,878.45,882.68,2415094444
7/10/09,880.03,883.57,872.81,879.13,2173377778
7/13/09,879.57,901.05,875.32,901.05,2499688889
7/14/09,900.77,905.84,896.5,905.84,2305016667
7/15/09,910.15,933.95,910.15,932.68,2910461111
7/16/09,930.17,943.96,927.45,940.74,2721466667
7/17/09,940.56,941.89,934.65,940.38,2856322222
7/20/09,942.07,951.62,940.99,951.13,2696194444
7/21/09,951.97,956.53,943.22,954.58,2949611111
7/22/09,953.4,959.83,947.75,954.07,2574500000
7/23/09,954.07,979.42,953.27,976.29,3200916667
7/24/09,972.16,979.79,965.95,979.26,2476833333
7/27/09,978.63,982.49,972.29,982.18,2572938889
7/28/09,981.48,982.35,969.35,979.62,3050194444
7/29/09,977.66,977.76,968.65,975.15,2877094444
7/30/09,976.01,996.68,976.01,986.75,3352877778
7/31/09,986.8,993.18,982.85,987.48,2855038889
8/3/09,990.22,1003.61,990.22,1002.63,3113022222
8/4/09,1001.41,1007.12,996.68,1005.65,3174277778
8/5/09,1005.41,1006.64,994.31,1002.72,4023400000
8/6/09,1004.06,1008,992.49,997.08,3751877778
8/7/09,999.83,1018,999.83,1010.48,3792827778
8/10/09,1008.89,1010.12,1000.99,1007.1,3003377778
8/11/09,1005.77,1005.77,992.4,994.35,3207311111
8/12/09,994,1012.78,993.36,1005.81,3054538889
8/13/09,1005.86,1013.14,1000.82,1012.73,2917033333
8/14/09,1012.23,1012.6,994.6,1004.09,2744861111
8/17/09,998.18,998.18,978.51,979.73,2271427778
8/18/09,980.62,991.2,980.62,989.67,2332761111
8/19/09,986.88,999.61,980.62,996.46,2365000000
8/20/09,996.41,1008.92,996.39,1007.37,2718422222
8/21/09,1009.06,1027.59,1009.06,1026.13,3269750000
8/24/09,1026.59,1035.82,1022.48,1025.57,3501361111
8/25/09,1026.63,1037.75,1026.21,1028,3204855556
8/26/09,1027.35,1032.47,1021.57,1028.12,2822255556
8/27/09,1027.81,1033.33,1016.2,1030.98,3214377778
8/28/09,1031.62,1039.47,1023.13,1028.93,3214322222
8/31/09,1025.21,1025.21,1014.62,1020.62,2780311111
9/1/09,1019.52,1028.45,996.28,998.04,3812422222
9/2/09,996.07,1000.34,991.97,994.75,3245961111
9/3/09,996.12,1003.43,992.25,1003.24,2569044444
9/4/09,1003.84,1016.48,1001.65,1016.4,2276316667
9/8/09,1018.67,1026.07,1018.67,1025.39,2908422222
9/9/09,1025.36,1036.34,1023.97,1033.37,2890305556
9/10/09,1032.99,1044.14,1028.04,1044.14,2884100000
9/11/09,1043.92,1048.18,1038.4,1042.73,2734777778
9/14/09,1040.15,1049.74,1035,1049.34,2766450000
